fare_id,price,currency_type,payment_method,transfers
05-52,11.65,CAD,1,
05-53,13.00,CAD,1,
05-54,14.15,CAD,1,
05-55,15.25,CAD,1,
05-56,7.15,CAD,1,
05-57,8.45,CAD,1,
05-58,8.90,CAD,1,
05-60,5.60,CAD,1,
05-61,5.60,CAD,1,
05-62,6.80,CAD,1,
05-63,7.85,CAD,1,
05-64,8.35,CAD,1,
05-65,9.80,CAD,1,
05-66,11.00,CAD,1,
05-67,11.60,CAD,1,
05-68,12.45,CAD,1,
05-69,12.95,CAD,1,
05-70,10.90,CAD,1,
05-71,11.10,CAD,1,
05-72,11.25,CAD,1,
05-73,11.75,CAD,1,
05-74,12.60,CAD,1,
05-75,13.50,CAD,1,
05-76,14.10,CAD,1,
05-77,5.30,CAD,1,
05-80,12.50,CAD,1,
05-81,15.45,CAD,1,
05-82,16.15,CAD,1,
05-83,18.30,CAD,1,
05-84,20.20,CAD,1,
05-85,16.40,CAD,1,
05-86,8.00,CAD,1,
05-87,8.60,CAD,1,
05-88,10.45,CAD,1,
05-89,6.75,CAD,1,
05-90,6.80,CAD,1,
05-91,8.00,CAD,1,
05-92,8.60,CAD,1,
05-93,9.75,CAD,1,
05-94,10.45,CAD,1,
05-95,10.95,CAD,1,
05-96,11.45,CAD,1,
05-97,12.20,CAD,1,
06-01,5.65,CAD,1,
06-02,5.65,CAD,1,
06-03,8.20,CAD,1,
06-04,8.35,CAD,1,
06-05,6.80,CAD,1,
06-06,5.30,CAD,1,
06-07,6.50,CAD,1,
06-08,6.15,CAD,1,
06-09,6.15,CAD,1,
06-11,8.95,CAD,1,
06-12,10.05,CAD,1,
06-13,10.80,CAD,1,
06-14,11.55,CAD,1,
06-15,12.45,CAD,1,
06-16,12.70,CAD,1,
06-17,13.45,CAD,1,
06-18,13.90,CAD,1,
06-19,6.80,CAD,1,
06-20,8.95,CAD,1,
06-21,11.00,CAD,1,
06-22,11.35,CAD,1,
06-23,11.65,CAD,1,
06-24,12.60,CAD,1,
06-26,17.85,CAD,1,
06-27,18.95,CAD,1,
06-28,13.20,CAD,1,
06-29,15.10,CAD,1,
06-30,18.25,CAD,1,
06-31,9.10,CAD,1,
06-32,10.30,CAD,1,
06-33,10.85,CAD,1,
06-34,11.65,CAD,1,
06-35,12.45,CAD,1,
06-37,13.90,CAD,1,
06-38,14.95,CAD,1,
06-39,15.65,CAD,1,
06-41,11.90,CAD,1,
06-42,13.10,CAD,1,
06-43,13.60,CAD,1,
06-44,11.05,CAD,1,
06-45,11.80,CAD,1,
06-46,13.05,CAD,1,
06-51,10.05,CAD,1,
06-52,11.00,CAD,1,
06-53,12.35,CAD,1,
06-54,13.45,CAD,1,
06-55,14.60,CAD,1,
06-56,9.80,CAD,1,
06-57,10.75,CAD,1,
06-58,11.10,CAD,1,
06-60,8.35,CAD,1,
06-61,8.40,CAD,1,
06-62,9.70,CAD,1,
06-63,10.35,CAD,1,
06-64,10.80,CAD,1,
06-65,11.80,CAD,1,
06-66,13.05,CAD,1,
06-67,13.60,CAD,1,
06-68,14.45,CAD,1,
06-69,14.95,CAD,1,
06-70,7.65,CAD,1,
06-71,7.85,CAD,1,
06-72,8.00,CAD,1,
06-73,8.50,CAD,1,
06-74,9.80,CAD,1,
06-75,10.70,CAD,1,
06-76,11.30,CAD,1,
06-77,5.30,CAD,1,
06-80,13.90,CAD,1,
06-81,15.80,CAD,1,
06-82,16.45,CAD,1,
06-83,18.65,CAD,1,
06-84,20.55,CAD,1,
06-85,17.75,CAD,1,
06-86,12.80,CAD,1,
06-87,14.10,CAD,1,
06-88,10.50,CAD,1,
06-89,9.20,CAD,1,
06-90,9.20,CAD,1,
06-91,6.90,CAD,1,
06-92,7.95,CAD,1,
06-93,8.65,CAD,1,
06-94,9.75,CAD,1,
06-95,10.35,CAD,1,
06-96,10.85,CAD,1,
06-97,11.60,CAD,1,
07-01,6.85,CAD,1,
07-02,6.85,CAD,1,
07-03,8.20,CAD,1,
07-04,6.85,CAD,1,
07-05,5.30,CAD,1,
07-06,6.50,CAD,1,
07-07,5.30,CAD,1,
07-08,5.30,CAD,1,
07-09,6.10,CAD,1,
07-11,8.95,CAD,1,
07-12,10.05,CAD,1,
07-13,10.80,CAD,1,
07-14,11.55,CAD,1,
07-15,12.35,CAD,1,
07-16,12.60,CAD,1,
07-17,13.35,CAD,1,
07-18,13.80,CAD,1,
07-19,5.30,CAD,1,
07-20,8.95,CAD,1,
07-21,10.05,CAD,1,
07-22,10.30,CAD,1,
07-23,10.60,CAD,1,
07-24,11.50,CAD,1,
07-26,16.70,CAD,1,
07-27,17.85,CAD,1,
07-28,13.20,CAD,1,
07-29,15.10,CAD,1,
07-30,18.25,CAD,1,
07-31,8.40,CAD,1,
07-32,9.70,CAD,1,
07-33,10.25,CAD,1,
07-34,11.05,CAD,1,
07-35,11.85,CAD,1,
07-37,13.35,CAD,1,
07-38,14.35,CAD,1,
07-39,15.05,CAD,1,
07-41,11.30,CAD,1,
07-42,12.55,CAD,1,
07-43,13.00,CAD,1,
07-44,9.85,CAD,1,
07-45,10.65,CAD,1,
07-46,11.85,CAD,1,
07-51,10.10,CAD,1,
07-52,11.05,CAD,1,
07-53,12.40,CAD,1,
07-54,13.50,CAD,1,
07-55,14.65,CAD,1,
07-56,8.35,CAD,1,
07-57,9.70,CAD,1,
07-58,10.05,CAD,1,
07-60,5.60,CAD,1,
07-61,6.85,CAD,1,
07-62,8.05,CAD,1,
07-63,8.70,CAD,1,
07-64,9.25,CAD,1,
07-65,10.65,CAD,1,
07-66,11.85,CAD,1,
07-67,12.40,CAD,1,
07-68,13.25,CAD,1,
07-69,13.80,CAD,1,
07-70,5.60,CAD,1,
07-71,6.10,CAD,1,
07-72,6.10,CAD,1,
07-73,6.75,CAD,1,
07-74,8.05,CAD,1,
07-75,9.00,CAD,1,
07-76,9.95,CAD,1,
07-77,5.30,CAD,1,
07-80,13.80,CAD,1,
07-81,15.70,CAD,1,
07-82,16.35,CAD,1,
07-83,18.55,CAD,1,
07-84,20.45,CAD,1,
07-85,17.65,CAD,1,
07-86,9.25,CAD,1,
07-87,10.65,CAD,1,
07-88,10.70,CAD,1,
07-89,5.30,CAD,1,
07-90,6.10,CAD,1,
07-91,6.90,CAD,1,
07-92,8.00,CAD,1,
07-93,8.70,CAD,1,
07-94,9.80,CAD,1,
07-95,10.35,CAD,1,
07-96,10.85,CAD,1,
07-97,11.60,CAD,1,
08-01,6.80,CAD,1,
08-02,6.80,CAD,1,
08-03,9.05,CAD,1,
08-04,8.30,CAD,1,
08-05,6.75,CAD,1,
08-06,6.15,CAD,1,
08-07,5.30,CAD,1,
08-08,5.30,CAD,1,
08-09,5.30,CAD,1,
08-11,10.30,CAD,1,
08-12,11.10,CAD,1,
08-13,11.85,CAD,1,
08-14,12.60,CAD,1,
08-15,13.25,CAD,1,
08-16,13.40,CAD,1,
08-17,14.10,CAD,1,
08-18,14.55,CAD,1,
08-19,6.75,CAD,1,
08-20,10.30,CAD,1,
08-21,11.35,CAD,1,
08-22,11.40,CAD,1,
08-23,11.70,CAD,1,
08-24,12.55,CAD,1,
08-26,17.75,CAD,1,
08-27,18.90,CAD,1,
08-28,12.40,CAD,1,
08-29,14.30,CAD,1,
08-30,17.40,CAD,1,
08-31,9.90,CAD,1,
08-32,10.75,CAD,1,
08-33,11.30,CAD,1,
08-34,12.10,CAD,1,
08-35,12.90,CAD,1,
08-37,14.35,CAD,1,
08-38,15.40,CAD,1,
08-39,16.10,CAD,1,
08-41,12.35,CAD,1,
08-42,13.55,CAD,1,
08-43,14.05,CAD,1,
08-44,11.00,CAD,1,
08-45,11.70,CAD,1,
08-46,12.90,CAD,1,
08-51,8.90,CAD,1,
08-52,10.20,CAD,1,
08-53,11.55,CAD,1,
08-54,12.70,CAD,1,
08-55,13.85,CAD,1,
08-56,10.50,CAD,1,
08-57,11.40,CAD,1,
08-58,11.75,CAD,1,
08-60,8.25,CAD,1,
08-61,8.30,CAD,1,
08-62,9.20,CAD,1,
08-63,10.30,CAD,1,
08-64,10.75,CAD,1,
08-65,11.70,CAD,1,
08-66,12.90,CAD,1,
08-67,13.45,CAD,1,
08-68,14.30,CAD,1,
08-69,14.85,CAD,1,
08-70,11.60,CAD,1,
08-71,11.80,CAD,1,
08-72,11.95,CAD,1,
08-73,12.45,CAD,1,
08-74,13.30,CAD,1,
08-75,14.20,CAD,1,
08-76,14.80,CAD,1,
08-77,5.30,CAD,1,
08-80,14.55,CAD,1,
08-81,16.45,CAD,1,
08-82,17.15,CAD,1,
08-83,19.30,CAD,1,
08-84,21.20,CAD,1,
08-85,18.40,CAD,1,
08-86,8.90,CAD,1,
08-87,10.30,CAD,1,
08-88,9.70,CAD,1,
08-89,8.35,CAD,1,
08-90,8.30,CAD,1,
08-91,6.10,CAD,1,
08-92,6.70,CAD,1,
08-93,7.85,CAD,1,
08-94,8.55,CAD,1,
08-95,9.15,CAD,1,
08-96,10.00,CAD,1,
08-97,10.75,CAD,1,
09-01,7.05,CAD,1,
09-02,7.05,CAD,1,
09-03,9.10,CAD,1,
09-04,8.35,CAD,1,
09-05,6.80,CAD,1,
09-06,6.15,CAD,1,
09-07,6.10,CAD,1,
09-08,5.30,CAD,1,
09-09,5.30,CAD,1,
09-11,10.40,CAD,1,
09-12,11.15,CAD,1,
09-13,11.90,CAD,1,
09-14,12.65,CAD,1,
09-15,13.30,CAD,1,
09-16,13.45,CAD,1,
09-17,14.20,CAD,1,
09-18,14.90,CAD,1,
09-19,6.80,CAD,1,
09-20,10.40,CAD,1,
09-21,11.40,CAD,1,
09-22,11.45,CAD,1,
